log(g) Teff a1 a2 a3 a4 I1 beaming
5.75 4000.0 1.0783 -0.286 -0.1907 0.1407 1.31417e-06 -4.5104
5.75 4250.0 1.3665 -1.0612 0.6314 -0.1668 1.85386e-06 -4.0707
5.75 4500.0 1.5152 -1.4471 1.0517 -0.3262 2.62887e-06 -3.6807
5.75 4750.0 1.4681 -1.2581 0.8488 -0.2481 3.69272e-06 -3.3324
5.75 5000.0 1.1742 -0.477 0.0958 0.0214 5.24444e-06 -3.0198
5.75 5250.0 0.7926 0.4862 -0.8086 0.3357 7.06403e-06 -2.7379
5.75 5500.0 0.3453 1.5904 -1.8423 0.6865 9.22024e-06 -2.4824
5.75 5750.0 -0.0138 2.4191 -2.575 0.9193 1.1696e-05 -2.2501
5.75 6000.0 -0.2108 2.7802 -2.8072 0.965 1.44991e-05 -2.038
5.75 6250.0 -0.2975 2.8388 -2.7263 0.8974 1.76552e-05 -1.8437
5.75 6500.0 -0.3119 2.7056 -2.4507 0.7604 2.11992e-05 -1.6652
5.75 7000.0 -0.2542 2.2724 -1.7776 0.4535 2.95406e-05 -1.3489
5.75 7500.0 -0.2042 2.0235 -1.4181 0.2856 3.98061e-05 -1.0778
5.75 8000.0 -0.2413 2.212 -1.6723 0.3762 5.2272e-05 -0.8432
5.75 8500.0 -0.2999 2.6544 -2.3636 0.6727 6.70721e-05 -0.6387
5.75 9000.0 -0.203 2.7172 -2.722 0.8742 8.40548e-05 -0.4592
5.75 9500.0 0.0091 2.2525 -2.3797 0.7948 0.000102214 -0.3005
5.75 10000.0 0.2728 1.3616 -1.4134 0.4712 0.000119356 -0.1594
5.75 10500.0 0.4925 0.5909 -0.5147 0.1364 0.000134995 -0.0333
5.75 11000.0 0.5722 0.4051 -0.3633 0.0889 0.000149183 0.0799
5.75 11500.0 0.6303 0.2783 -0.2813 0.07 0.000162948 0.1821
5.75 12000.0 0.6717 0.1688 -0.1964 0.0453 0.000176542 0.2747
5.75 12500.0 0.6944 0.0958 -0.138 0.0277 0.000190046 0.3589
5.75 13000.0 0.7066 0.0451 -0.0971 0.0154 0.000203592 0.4358
5.75 13500.0 0.7125 0.0088 -0.0683 0.0069 0.00021723 0.5062
5.75 14000.0 0.7147 -0.019 -0.0458 0.0001 0.000231016 0.5709
5.75 14500.0 0.7153 -0.0426 -0.0265 -0.0056 0.000244981 0.6305
5.75 15000.0 0.7152 -0.0644 -0.008 -0.0113 0.000259146 0.6856
5.75 15500.0 0.7147 -0.0846 0.0095 -0.0167 0.000273526 0.7367
5.75 16000.0 0.7145 -0.1049 0.0277 -0.0225 0.000288138 0.7842
5.75 16500.0 0.7147 -0.1258 0.0469 -0.0287 0.00030299 0.8283
5.75 17000.0 0.6978 -0.1059 0.0249 -0.0199 0.000318109 0.8696
5.75 20000.0 0.7396 -0.3161 0.2354 -0.094 0.000414576 1.0683
5.75 25000.0 0.8862 -0.7941 0.7145 -0.2645 0.00060444 1.2821
5.75 30000.0 0.9831 -1.0795 0.9484 -0.3349 0.000863652 1.4175
5.75 35000.0 0.8588 -0.9438 0.7988 -0.2756 0.00116066 1.5105
5.75 40000.0 0.8125 -0.9737 0.8613 -0.3047 0.00139697 1.5782
5.75 45000.0 0.8292 -1.1102 1.0268 -0.3702 0.0015949 1.6296
5.75 50000.0 0.8719 -1.2803 1.2178 -0.4431 0.00177674 1.6699
5.75 55000.0 0.9241 -1.4511 1.4016 -0.5117 0.00194439 1.7023
5.75 60000.0 0.9807 -1.6182 1.5765 -0.576 0.00210582 1.729
6.0 3750.0 0.6653 0.8006 -1.3083 0.5502 9.8898e-07 -5.0093
6.0 4000.0 1.1453 -0.4523 -0.0188 0.0775 1.34545e-06 -4.5104
6.0 4250.0 1.4338 -1.2332 0.8104 -0.2332 1.87765e-06 -4.0707
6.0 4500.0 1.5714 -1.6009 1.2119 -0.3858 2.64116e-06 -3.6807
6.0 4750.0 1.5571 -1.4986 1.0948 -0.3391 3.69043e-06 -3.3324
6.0 5000.0 1.3008 -0.7983 0.4014 -0.087 5.21907e-06 -3.0198
6.0 5250.0 0.9721 0.0426 -0.3959 0.1937 7.03331e-06 -2.7379
6.0 5500.0 0.5369 1.1282 -1.4207 0.5464 9.18408e-06 -2.4824
6.0 5750.0 0.1375 2.0812 -2.293 0.8342 1.166e-05 -2.2501
6.0 6000.0 -0.1167 2.614 -2.7164 0.9531 1.4453e-05 -2.038
6.0 6250.0 -0.2408 2.7894 -2.7701 0.9377 1.75868e-05 -1.8437
6.0 6500.0 -0.2856 2.7531 -2.6078 0.8447 2.10837e-05 -1.6652
6.0 7000.0 -0.2683 2.4479 -2.0862 0.5976 2.92891e-05 -1.3489
6.0 7500.0 -0.2312 2.2092 -1.72 0.4237 3.93111e-05 -1.0778
6.0 8000.0 -0.2501 2.298 -1.8327 0.4549 5.14322e-05 -0.8432
6.0 8500.0 -0.3011 2.6612 -2.3934 0.6919 6.57945e-05 -0.6387
