Teff log(g) a1 a2 a3 a4 I1 beaming
17000.0 5.75 0.5353 -0.3576 0.3705 -0.1517 0.000165412 1.3337
20000.0 5.75 0.6381 -0.6678 0.6814 -0.2636 0.000206437 1.4464
25000.0 5.75 0.8512 -1.1846 1.1615 -0.4278 0.000284077 1.5689
30000.0 5.75 0.808 -1.0117 0.9052 -0.3166 0.000388915 1.6474
35000.0 5.75 0.61 -0.7023 0.6236 -0.2213 0.000512994 1.7018
40000.0 5.75 0.5951 -0.814 0.7816 -0.2875 0.0006099 1.7418
45000.0 5.75 0.6409 -1.0112 1.005 -0.3728 0.000690069 1.7723
50000.0 5.75 0.7026 -1.2138 1.2214 -0.453 0.000763315 1.7965
55000.0 5.75 0.7656 -1.397 1.4105 -0.5219 0.000830567 1.816
60000.0 5.75 0.8272 -1.5635 1.5779 -0.582 0.000895162 1.8321
3750.0 6.0 1.8867 -2.6933 2.2906 -0.7706 3.61883e-06 -2.1343
4000.0 6.0 1.7948 -2.5914 2.2302 -0.757 4.44367e-06 -1.8245
4250.0 6.0 1.7572 -2.5514 2.2091 -0.7531 5.53084e-06 -1.5532
4500.0 6.0 1.7667 -2.5801 2.2469 -0.7687 6.91345e-06 -1.314
4750.0 6.0 1.5805 -2.0074 1.6071 -0.5202 8.59695e-06 -1.1018
5000.0 6.0 1.3075 -1.2335 0.7979 -0.2189 1.08705e-05 -0.9125
5250.0 6.0 0.9305 -0.2344 -0.1997 0.1406 1.30551e-05 -0.7428
5500.0 6.0 0.4658 0.921 -1.3061 0.5239 1.54166e-05 -0.59
5750.0 6.0 0.088 1.7696 -2.0459 0.7575 1.79442e-05 -0.4519
6000.0 6.0 -0.1081 2.1053 -2.2406 0.7879 2.06241e-05 -0.3265
6250.0 6.0 -0.1745 2.1087 -2.1097 0.7055 2.346e-05 -0.2122
6500.0 6.0 -0.1707 1.945 -1.826 0.5737 2.64502e-05 -0.1077
7000.0 6.0 -0.0846 1.4834 -1.1835 0.2996 3.29305e-05 0.0762
7500.0 6.0 0.0128 1.0885 -0.6815 0.0923 4.01332e-05 0.2327
8000.0 6.0 0.0584 0.933 -0.5017 0.0167 4.81095e-05 0.3672
8500.0 6.0 0.0632 0.9724 -0.5925 0.055 5.67714e-05 0.4838
9000.0 6.0 0.1211 0.9121 -0.6278 0.0895 6.58146e-05 0.5857
9500.0 6.0 0.271 0.5268 -0.29 -0.0129 7.44025e-05 0.6755
10000.0 6.0 0.452 0.0022 0.2075 -0.167 8.12206e-05 0.7551
10500.0 6.0 0.5231 -0.1783 0.306 -0.1645 8.58704e-05 0.8261
11000.0 6.0 0.5446 -0.2186 0.2941 -0.1405 9.14204e-05 0.8898
11500.0 6.0 0.5477 -0.221 0.2752 -0.1292 9.74064e-05 0.9472
12000.0 6.0 0.5503 -0.2279 0.2638 -0.121 0.000103378 0.9992
12500.0 6.0 0.555 -0.2511 0.2763 -0.1228 0.000109362 1.0465
13000.0 6.0 0.5586 -0.2776 0.2974 -0.1288 0.000115397 1.0896
13500.0 6.0 0.5607 -0.3024 0.32 -0.1361 0.000121496 1.1291
14000.0 6.0 0.5619 -0.3253 0.3423 -0.1438 0.000127667 1.1655
14500.0 6.0 0.5626 -0.3461 0.3631 -0.1511 0.000133899 1.199
15000.0 6.0 0.5636 -0.3663 0.3834 -0.1582 0.000140193 1.23
15500.0 6.0 0.5637 -0.3831 0.3999 -0.164 0.000146551 1.2588
16000.0 6.0 0.5654 -0.4026 0.4193 -0.1708 0.000152973 1.2855
16500.0 6.0 0.5652 -0.4157 0.4317 -0.1749 0.000159462 1.3104
17000.0 6.0 0.5698 -0.4404 0.4562 -0.1837 0.00016602 1.3337
20000.0 6.0 0.6245 -0.6334 0.6453 -0.2501 0.000207055 1.4464
25000.0 6.0 0.8356 -1.1487 1.1251 -0.4145 0.000284652 1.5689
30000.0 6.0 0.7516 -0.8826 0.7739 -0.2683 0.000388913 1.6474
35000.0 6.0 0.5578 -0.5866 0.5081 -0.1791 0.000511366 1.7018
40000.0 6.0 0.518 -0.6428 0.6111 -0.2254 0.000607097 1.7418
45000.0 6.0 0.5443 -0.799 0.795 -0.2967 0.000686077 1.7723
50000.0 6.0 0.5916 -0.973 0.9848 -0.3677 0.000757834 1.7965
55000.0 6.0 0.6426 -1.1334 1.1529 -0.4294 0.000823609 1.816
60000.0 6.0 0.6976 -1.291 1.3135 -0.4874 0.000890683 1.8321
65000.0 6.0 0.3487 -0.3629 0.3851 -0.1534 0.00106301 1.8456
70000.0 6.0 0.3916 -0.4939 0.5209 -0.2028 0.00113053 1.8571
75000.0 6.0 0.4379 -0.6243 0.6537 -0.2508 0.00119807 1.867
80000.0 6.0 0.486 -0.7516 0.7811 -0.2965 0.00126579 1.8756
85000.0 6.0 0.5349 -0.8756 0.9045 -0.3408 0.00133381 1.8832
90000.0 6.0 0.583 -0.9925 1.0191 -0.3817 0.00140229 1.8899
100000.0 6.0 0.6749 -1.2092 1.2306 -0.4568 0.00154198 1.9013
3750.0 6.25 1.947 -2.8242 2.4228 -0.8193 3.69825e-06 -2.1343
4000.0 6.25 1.8144 -2.6301 2.2694 -0.7716 4.50925e-06 -1.8245
4250.0 6.25 1.7669 -2.5709 2.2286 -0.7603 5.57677e-06 -1.5532
4500.0 6.25 1.7589 -2.5666 2.2335 -0.7639 6.93789e-06 -1.314
4750.0 6.25 1.6222 -2.1312 1.74 -0.5706 8.5998e-06 -1.1018
5000.0 6.25 1.3574 -1.3745 0.9364 -0.2687 1.09101e-05 -0.9125
5250.0 6.25 1.0609 -0.5792 0.1381 0.0205 1.30841e-05 -0.7428
5500.0 6.25 0.6327 0.5087 -0.9208 0.3934 1.54491e-05 -0.59
5750.0 6.25 0.2214 1.4744 -1.802 0.6849 1.79771e-05 -0.4519
6000.0 6.25 -0.0385 1.9945 -2.1965 0.7905 2.06558e-05 -0.3265
6250.0 6.25 -0.146 2.1092 -2.1802 0.7491 2.34856e-05 -0.2122
6500.0 6.25 -0.1746 2.0391 -1.9974 0.6542 2.64682e-05 -0.1077
7000.0 6.25 -0.1162 1.6571 -1.4403 0.4111 3.29175e-05 0.0762
7500.0 6.25 -0.0329 1.2921 -0.9628 0.2107 4.00603e-05 0.2327
8000.0 6.25 0.017 1.1039 -0.7316 0.1125 4.79521e-05 0.3672
8500.0 6.25 0.0249 1.1135 -0.774 0.1294 5.65401e-05 0.4838
9000.0 6.25 0.0604 1.1054 -0.8523 0.1756 6.56046e-05 0.5857
9500.0 6.25 0.1971 0.7737 -0.5759 0.0946 7.45168e-05 0.6755
10000.0 6.25 0.3407 0.3482 -0.1564 -0.0433 8.22276e-05 0.7551
10500.0 6.25 0.478 -0.0594 0.2169 -0.1503 8.7495e-05 0.8261
11000.0 6.25 0.5347 -0.2003 0.2888 -0.1449 9.23529e-05 0.8898
11500.0 6.25 0.5442 -0.2181 0.2767 -0.1309 9.81766e-05 0.9472
12000.0 6.25 0.5464 -0.2222 0.2626 -0.1219 0.000104148 0.9992
12500.0 6.25 0.5501 -0.2377 0.2646 -0.1194 0.000110127 1.0465
13000.0 6.25 0.5532 -0.2601 0.2794 -0.1225 0.000116142 1.0896
13500.0 6.25 0.5554 -0.2839 0.3 -0.1289 0.000122217 1.1291
14000.0 6.25 0.5565 -0.3059 0.3205 -0.1356 0.00012837 1.1655
14500.0 6.25 0.5572 -0.3268 0.3413 -0.1429 0.000134591 1.199
15000.0 6.25 0.558 -0.347 0.3616 -0.15 0.000140881 1.23
15500.0 6.25 0.5569 -0.3614 0.3762 -0.1551 0.00014724 1.2588
16000.0 6.25 0.5589 -0.3818 0.3964 -0.1622 0.000153665 1.2855
16500.0 6.25 0.56 -0.3986 0.4128 -0.1678 0.000160159 1.3104
17000.0 6.25 0.5626 -0.418 0.4314 -0.1742 0.000166728 1.3337
20000.0 6.25 0.6184 -0.6147 0.625 -0.2426 0.000207802 1.4464
25000.0 6.25 0.824 -1.1188 1.0936 -0.4028 0.000285439 1.5689
30000.0 6.25 0.7603 -0.9087 0.8025 -0.2793 0.000389365 1.6474
35000.0 6.25 0.5184 -0.4982 0.4193 -0.1467 0.00051043 1.7018
40000.0 6.25 0.4577 -0.5074 0.4756 -0.1761 0.000605037 1.7418
45000.0 6.25 0.4682 -0.6293 0.6261 -0.2354 0.000682889 1.7723
