log(g) Teff a1 a2 a3 a4 I1 beaming
6.5 5750.0 0.3049 1.7276 -1.8188 0.6515 6.42154e-06 -3.7526
6.5 6000.0 0.0496 2.3768 -2.4386 0.8591 8.52883e-06 -3.4737
6.5 6250.0 -0.1401 2.8327 -2.8567 0.991 1.09093e-05 -3.2176
6.5 6500.0 -0.2482 3.0516 -3.0234 1.0295 1.35422e-05 -2.9817
6.5 7000.0 -0.3219 3.0969 -2.9624 0.9677 1.94954e-05 -2.5621
6.5 7500.0 -0.2859 2.8403 -2.6086 0.8089 2.61983e-05 -2.2004
6.5 8000.0 -0.1855 2.4043 -2.0911 0.6023 3.35196e-05 -1.886
6.5 8500.0 -0.027 1.812 -1.4381 0.3603 4.14512e-05 -1.6107
6.5 9000.0 0.1815 1.0993 -0.6879 0.0954 5.0084e-05 -1.3678
6.5 9500.0 0.4541 0.2405 0.1761 -0.1955 5.93976e-05 -1.1523
6.5 10000.0 0.6667 -0.4111 0.7949 -0.3888 6.89399e-05 -0.9601
6.5 10500.0 0.7793 -0.732 1.0421 -0.4429 7.74896e-05 -0.7877
6.5 11000.0 0.8297 -0.8331 1.0444 -0.4119 8.45555e-05 -0.6325
6.5 11500.0 0.8296 -0.8238 0.9911 -0.3802 9.38048e-05 -0.4921
6.5 12000.0 0.8176 -0.8028 0.9643 -0.37 0.00010535 -0.3647
6.5 12500.0 0.8047 -0.7784 0.9394 -0.3632 0.000118152 -0.2485
6.5 13000.0 0.7797 -0.7219 0.8799 -0.3433 0.000131941 -0.1423
6.5 13500.0 0.7809 -0.7218 0.8731 -0.3415 0.000146534 -0.0449
6.5 14000.0 0.7704 -0.696 0.8403 -0.33 0.000161868 0.0447
6.5 14500.0 0.7637 -0.6806 0.8185 -0.3223 0.000177875 0.1274
6.5 15000.0 0.759 -0.6709 0.8027 -0.3167 0.000194524 0.2038
6.5 15500.0 0.7529 -0.6595 0.7861 -0.3107 0.000211804 0.2747
6.5 16000.0 0.7501 -0.656 0.7777 -0.3078 0.000229711 0.3406
6.5 16500.0 0.748 -0.6544 0.7718 -0.3058 0.000248255 0.4019
6.5 17000.0 0.746 -0.6529 0.7658 -0.3035 0.000267433 0.4592
6.5 20000.0 0.7875 -0.7634 0.85 -0.3326 0.000396251 0.7352
6.5 25000.0 0.9561 -1.1252 1.1465 -0.4298 0.000671463 1.0314
6.5 30000.0 0.9103 -0.9557 0.8765 -0.3132 0.00107629 1.2181
6.5 35000.0 0.6823 -0.5657 0.4697 -0.1641 0.00155644 1.3457
6.5 40000.0 0.5845 -0.4827 0.4172 -0.1515 0.00193818 1.4381
6.5 45000.0 0.5594 -0.526 0.4861 -0.1813 0.00225537 1.508
6.5 50000.0 0.565 -0.6168 0.5973 -0.2252 0.00254861 1.5625
6.5 55000.0 0.585 -0.7202 0.7145 -0.2699 0.00281563 1.6063
6.5 60000.0 0.6127 -0.8287 0.8328 -0.3142 0.00306956 1.6422
6.5 65000.0 0.4433 -0.1779 0.129 -0.0533 0.00389905 1.6722
6.5 70000.0 0.4572 -0.2544 0.2183 -0.0877 0.00416947 1.6975
6.5 75000.0 0.4777 -0.3404 0.315 -0.1245 0.00443775 1.7193
6.5 80000.0 0.5033 -0.4326 0.4159 -0.1624 0.00470515 1.7381
6.5 85000.0 0.5327 -0.5283 0.5186 -0.2006 0.0049725 1.7546
6.5 90000.0 0.5647 -0.6256 0.6209 -0.2383 0.0052405 1.7691
6.5 100000.0 0.6303 -0.8162 0.8195 -0.3111 0.0057805 1.7936
6.75 3750.0 -0.517 3.5865 -3.8329 1.4005 3.02034e-07 -7.3421
6.75 4000.0 0.0783 2.293 -2.6778 1.0202 4.31482e-07 -6.696
6.75 4250.0 0.6829 0.8318 -1.2298 0.501 6.38648e-07 -6.1261
6.75 4500.0 1.0789 -0.1713 -0.1944 0.1193 9.64751e-07 -5.6197
6.75 4750.0 1.3171 -0.7617 0.4267 -0.1124 1.45896e-06 -5.1669
6.75 5000.0 0.8491 0.4124 -0.6845 0.2803 1.85803e-06 -4.7596
6.75 5250.0 0.8125 0.5059 -0.7417 0.2955 2.99368e-06 -4.3916
6.75 5500.0 0.6777 0.8228 -1.0025 0.3805 4.50452e-06 -4.0573
6.75 5750.0 0.4505 1.3763 -1.4995 0.5453 6.35078e-06 -3.7526
6.75 6000.0 0.1868 2.0426 -2.1313 0.7578 8.49677e-06 -3.4737
6.75 6250.0 -0.0337 2.5859 -2.6415 0.9244 1.09164e-05 -3.2176
6.75 6500.0 -0.1802 2.9233 -2.9425 1.0152 1.35916e-05 -2.9817
6.75 7000.0 -0.2881 3.082 -3.015 1.0061 1.9638e-05 -2.5621
6.75 7500.0 -0.2754 2.9154 -2.7738 0.8922 2.64645e-05 -2.2004
6.75 8000.0 -0.1959 2.5529 -2.3396 0.7162 3.39501e-05 -1.886
