Teff log(g) a1 a2 a3 a4 I1
3200.0 4.0 1.95177 -2.48498 2.70423 -0.95145 210769000.0
3300.0 4.0 1.74341 -2.2454 2.61374 -0.94167 308823000.0
3400.0 4.0 1.48707 -1.87776 2.38483 -0.8847 368048000.0
3500.0 4.0 1.38741 -1.71913 2.25142 -0.84304 398639000.0
3600.0 4.0 1.46776 -1.86007 2.33741 -0.86106 411644000.0
3700.0 4.0 1.5693 -2.01705 2.40716 -0.85677 415199000.0
3800.0 4.0 1.61456 -2.10808 2.44573 -0.83752 415433000.0
3900.0 4.0 1.79955 -2.5589 2.83376 -0.94 406478000.0
4000.0 4.0 1.87739 -2.81263 3.08852 -1.00989 395756000.0
4100.0 4.0 1.93604 -3.0982 3.44602 -1.14132 374597000.0
4200.0 4.0 2.38702 -4.20242 4.54299 -1.52415 357797000.0
4300.0 4.0 2.40209 -4.18608 4.47271 -1.49228 330419000.0
4400.0 4.0 2.39625 -4.15923 4.43921 -1.48903 292646000.0
4500.0 4.0 2.33407 -4.01643 4.30898 -1.45786 237154000.0
4600.0 4.0 2.32189 -3.96851 4.25639 -1.44933 157569000.0
4700.0 4.0 2.30379 -3.90136 4.17857 -1.42903 76768000.0
4800.0 4.0 2.3297 -3.9281 4.18512 -1.43608 23300600.0
4900.0 4.0 2.32374 -3.89417 4.13569 -1.42286 7377780.0
5100.0 4.0 2.6256 -4.50714 4.68768 -1.6287 497758.0
5200.0 4.0 2.68326 -4.62802 4.79426 -1.67015 519771.0
5300.0 4.0 2.69123 -4.64132 4.8005 -1.6769 577796.0
5400.0 4.0 2.66298 -4.58358 4.74522 -1.66342 610136.0
5500.0 4.0 2.72588 -4.70877 4.85005 -1.70101 651520.0
5600.0 4.0 2.80597 -4.88503 5.01214 -1.76008 706012.0
5700.0 4.0 2.73528 -4.72613 4.85372 -1.70722 765258.0
5800.0 4.0 2.76858 -4.79575 4.91068 -1.72783 841374.0
5900.0 4.0 2.81137 -4.89644 5.00666 -1.76485 923673.0
6000.0 4.0 2.88578 -5.06554 5.16446 -1.82145 1029510.0
6100.0 4.0 2.90699 -5.12033 5.22054 -1.84405 1136500.0
6200.0 4.0 2.88679 -5.07825 5.17522 -1.82915 1248640.0
6300.0 4.0 2.92344 -5.16188 5.24736 -1.85459 1364900.0
6400.0 4.0 2.98591 -5.30155 5.37527 -1.89944 1498830.0
6500.0 4.0 3.02094 -5.37039 5.4294 -1.91718 1631220.0
6600.0 4.0 3.03985 -5.40663 5.45391 -1.92484 1758150.0
