Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.75 1.9181 -2.9748 2.6178 -0.8971 4.54911e-06 -1.382
4000.0 5.75 1.7379 -2.6499 2.3241 -0.7963 5.479e-06 -1.1253
4250.0 5.75 1.6756 -2.5358 2.2225 -0.7617 6.65121e-06 -0.9012
4500.0 5.75 1.6944 -2.5691 2.2588 -0.7755 8.09075e-06 -0.7042
4750.0 5.75 1.4512 -1.8419 1.4539 -0.4649 9.78285e-06 -0.5299
5000.0 5.75 1.1521 -0.9973 0.577 -0.1403 1.1947e-05 -0.3747
5250.0 5.75 0.7453 0.0736 -0.4885 0.2412 1.39813e-05 -0.236
5500.0 5.75 0.3025 1.155 -1.5087 0.5886 1.61392e-05 -0.1113
5750.0 5.75 -0.0017 1.7991 -2.0333 0.7419 1.8398e-05 0.0013
6000.0 5.75 -0.1262 1.9483 -2.0406 0.7059 2.07533e-05 0.1033
6250.0 5.75 -0.1529 1.853 -1.8147 0.5913 2.32039e-05 0.1962
6500.0 5.75 -0.124 1.632 -1.481 0.4444 2.5754e-05 0.281
7000.0 5.75 -0.0094 1.1148 -0.8007 0.1631 3.11397e-05 0.4301
7500.0 5.75 0.0935 0.7403 -0.3567 -0.0123 3.69387e-05 0.5568
8000.0 5.75 0.1399 0.602 -0.2228 -0.0622 4.31309e-05 0.6656
8500.0 5.75 0.1649 0.5834 -0.2687 -0.0324 4.95968e-05 0.7599
9000.0 5.75 0.2681 0.366 -0.137 -0.0545 5.60232e-05 0.8423
9500.0 5.75 0.416 -0.0402 0.2208 -0.1595 6.16319e-05 0.9148
10000.0 5.75 0.5265 -0.3387 0.441 -0.2038 6.54133e-05 0.9792
10500.0 5.75 0.5557 -0.4006 0.4368 -0.1787 6.89492e-05 1.0366
11000.0 5.75 0.56 -0.4154 0.4361 -0.1743 7.32862e-05 1.0881
11500.0 5.75 0.5597 -0.4202 0.432 -0.1714 7.77592e-05 1.1346
12000.0 5.75 0.562 -0.4352 0.4393 -0.1723 8.22134e-05 1.1767
12500.0 5.75 0.5613 -0.4483 0.449 -0.1749 8.66612e-05 1.215
