Teff log(g) a1 a2 a3 a4 I1 beaming
12000.0 5.5 0.6749 0.1648 -0.1922 0.0439 0.00017675 0.2796
12500.0 5.5 0.6933 0.1 -0.1404 0.0283 0.000190113 0.3636
13000.0 5.5 0.7023 0.0561 -0.1058 0.0181 0.000203548 0.4402
13500.0 5.5 0.7078 0.0211 -0.0782 0.01 0.000217035 0.5104
14000.0 5.5 0.7084 -0.0029 -0.0596 0.0047 0.000230735 0.5749
14500.0 5.5 0.7091 -0.027 -0.0396 -0.0014 0.000244623 0.6344
15000.0 5.5 0.7091 -0.0488 -0.0211 -0.0071 0.000258709 0.6893
15500.0 5.5 0.7089 -0.0696 -0.003 -0.0127 0.000273035 0.7403
16000.0 5.5 0.6969 -0.0616 -0.014 -0.0076 0.000287595 0.7876
16500.0 5.5 0.7098 -0.1128 0.0363 -0.0254 0.000302374 0.8316
17000.0 5.5 0.7112 -0.1359 0.0582 -0.0327 0.000317439 0.8727
20000.0 5.5 0.7388 -0.3116 0.2333 -0.0938 0.000413646 1.0708
25000.0 5.5 0.8838 -0.781 0.7022 -0.2602 0.000603248 1.284
30000.0 5.5 0.9991 -1.1018 0.9689 -0.3422 0.000863789 1.419
35000.0 5.5 0.9105 -1.0444 0.8956 -0.3104 0.00116302 1.5118
40000.0 5.5 0.8981 -1.1464 1.0285 -0.3648 0.00140103 1.5793
45000.0 5.5 0.9392 -1.3314 1.2394 -0.4462 0.00160105 1.6305
50000.0 5.5 1.0 -1.5341 1.4591 -0.5286 0.00178608 1.6707
55000.0 5.5 1.0654 -1.7264 1.6607 -0.6029 0.00195714 1.7031
60000.0 5.5 1.1302 -1.9017 1.8396 -0.6678 0.00212301 1.7297
3750.0 5.75 0.5886 0.9858 -1.4923 0.6154 9.59949e-07 -4.9907
4000.0 5.75 1.0837 -0.2984 -0.1792 0.1367 1.3246e-06 -4.493
4250.0 5.75 1.3718 -1.0745 0.6444 -0.1714 1.86795e-06 -4.0544
4500.0 5.75 1.52 -1.4595 1.0641 -0.3307 2.64781e-06 -3.6653
4750.0 5.75 1.472 -1.2681 0.8584 -0.2515 3.71766e-06 -3.3179
5000.0 5.75 1.1783 -0.4872 0.1051 0.0182 5.27827e-06 -3.006
5250.0 5.75 0.7955 0.4793 -0.803 0.3339 7.10432e-06 -2.7248
5500.0 5.75 0.3469 1.5865 -1.8399 0.6859 9.2672e-06 -2.47
5750.0 5.75 -0.013 2.4167 -2.5737 0.919 1.17496e-05 -2.2382
6000.0 5.75 -0.2102 2.7775 -2.8051 0.9644 1.45592e-05 -2.0266
6250.0 5.75 -0.2968 2.835 -2.7227 0.8962 1.77216e-05 -1.8329
6500.0 5.75 -0.3108 2.7004 -2.4454 0.7586 2.12716e-05 -1.6549
7000.0 5.75 -0.2525 2.2649 -1.7697 0.4507 2.96253e-05 -1.3394
7500.0 5.75 -0.2022 2.0142 -1.4076 0.2818 3.99058e-05 -1.069
8000.0 5.75 -0.2394 2.2019 -1.6601 0.3715 5.23906e-05 -0.8351
8500.0 5.75 -0.2988 2.6459 -2.352 0.6679 6.7213e-05 -0.6312
9000.0 5.75 -0.2033 2.7124 -2.7138 0.8704 8.42151e-05 -0.4521
9500.0 5.75 0.0077 2.2509 -2.3749 0.7923 0.00010238 -0.2939
10000.0 5.75 0.2713 1.3614 -1.4108 0.4696 0.000119499 -0.1532
10500.0 5.75 0.4913 0.5909 -0.5134 0.1357 0.0001351 -0.0275
11000.0 5.75 0.5709 0.4057 -0.363 0.0885 0.000149241 0.0854
11500.0 5.75 0.629 0.2792 -0.2817 0.0699 0.00016295 0.1873
12000.0 5.75 0.6704 0.1696 -0.1967 0.0453 0.000176485 0.2796
12500.0 5.75 0.6932 0.0964 -0.1381 0.0277 0.000189931 0.3636
13000.0 5.75 0.7053 0.0455 -0.097 0.0152 0.00020342 0.4402
13500.0 5.75 0.7112 0.0092 -0.0681 0.0067 0.000217002 0.5104
14000.0 5.75 0.7134 -0.0187 -0.0455 -0.0001 0.000230732 0.5749
14500.0 5.75 0.714 -0.0423 -0.0261 -0.0059 0.000244641 0.6344
15000.0 5.75 0.7138 -0.064 -0.0076 -0.0116 0.000258747 0.6893
15500.0 5.75 0.7133 -0.0842 0.0099 -0.017 0.000273069 0.7403
16000.0 5.75 0.713 -0.1045 0.0281 -0.0228 0.000287619 0.7876
16500.0 5.75 0.7132 -0.1253 0.0472 -0.029 0.000302407 0.8316
17000.0 5.75 0.6963 -0.1055 0.0253 -0.0201 0.000317462 0.8727
20000.0 5.75 0.7382 -0.3157 0.236 -0.0944 0.000413485 1.0708
25000.0 5.75 0.8853 -0.7947 0.716 -0.2652 0.00060238 1.284
30000.0 5.75 0.982 -1.0791 0.9486 -0.335 0.000860184 1.419
35000.0 5.75 0.8571 -0.9416 0.797 -0.2751 0.00115555 1.5118
40000.0 5.75 0.8106 -0.9712 0.8595 -0.3042 0.00139051 1.5793
45000.0 5.75 0.8275 -1.1079 1.0252 -0.3697 0.00158728 1.6305
50000.0 5.75 0.8702 -1.2783 1.2165 -0.4427 0.00176804 1.6707
55000.0 5.75 0.9225 -1.4492 1.4004 -0.5113 0.00193468 1.7031
60000.0 5.75 0.9791 -1.6164 1.5754 -0.5757 0.00209514 1.7297
3750.0 6.0 0.6693 0.7933 -1.3031 0.5488 9.97051e-07 -4.9907
4000.0 6.0 1.1507 -0.465 -0.0068 0.0733 1.35607e-06 -4.493
4250.0 6.0 1.4388 -1.2457 0.8228 -0.2377 1.89187e-06 -4.0544
4500.0 6.0 1.5757 -1.6121 1.223 -0.3899 2.66015e-06 -3.6653
4750.0 6.0 1.5604 -1.5074 1.1033 -0.3421 3.71534e-06 -3.3179
5000.0 6.0 1.3047 -0.8083 0.4106 -0.0901 5.25345e-06 -3.006
5250.0 6.0 0.9749 0.0356 -0.3901 0.1918 7.07407e-06 -2.7248
5500.0 6.0 0.5385 1.1242 -1.4181 0.5457 9.23142e-06 -2.47
5750.0 6.0 0.1382 2.0791 -2.292 0.834 1.17139e-05 -2.2382
6000.0 6.0 -0.1163 2.612 -2.7151 0.9527 1.45134e-05 -2.0266
6250.0 6.0 -0.2404 2.7864 -2.7674 0.9368 1.76536e-05 -1.8329
6500.0 6.0 -0.2849 2.7488 -2.6036 0.8432 2.11567e-05 -1.6549
7000.0 6.0 -0.2671 2.4413 -2.0792 0.5951 2.93747e-05 -1.3394
7500.0 6.0 -0.2296 2.2008 -1.7105 0.4202 3.94119e-05 -1.069
8000.0 6.0 -0.2485 2.2887 -1.8214 0.4505 5.15525e-05 -0.8351
8500.0 6.0 -0.3002 2.6533 -2.3826 0.6874 6.59387e-05 -0.6312
9000.0 6.0 -0.2355 2.7933 -2.8072 0.9074 8.25002e-05 -0.4521
