log(g) Teff a1 a2 a3 a4 I1 beaming
5.5 15500.0 0.5838 -0.4562 0.4775 -0.1926 0.000141765 1.2723
5.5 16000.0 0.5546 -0.3989 0.4171 -0.1698 0.000147995 1.2985
5.5 16500.0 0.5883 -0.4945 0.515 -0.2057 0.000154273 1.323
5.5 17000.0 0.5923 -0.5162 0.5358 -0.2128 0.000160637 1.3458
5.5 20000.0 0.6542 -0.7233 0.7392 -0.2847 0.000200415 1.4563
5.5 25000.0 0.8539 -1.1992 1.1748 -0.4319 0.000275674 1.5765
5.5 30000.0 0.833 -1.072 0.9646 -0.338 0.000377997 1.6535
5.5 35000.0 0.668 -0.8398 0.7625 -0.2721 0.000499867 1.7069
5.5 40000.0 0.6846 -1.0193 0.9867 -0.362 0.000594908 1.7462
5.5 45000.0 0.7528 -1.2617 1.2525 -0.4621 0.0006737 1.7762
5.5 50000.0 0.8308 -1.4942 1.4956 -0.5514 0.000746114 1.7999
5.5 55000.0 0.9064 -1.699 1.703 -0.6262 0.000812743 1.819
5.5 60000.0 0.9769 -1.8778 1.8797 -0.6891 0.000877033 1.8348
5.75 3750.0 1.8555 -2.6466 2.2461 -0.7545 3.6481e-06 -2.0559
5.75 4000.0 1.7795 -2.5789 2.2203 -0.7536 4.5008e-06 -1.7515
5.75 4250.0 1.7463 -2.5433 2.2033 -0.7512 5.6178e-06 -1.485
5.75 4500.0 1.7707 -2.5945 2.2611 -0.7736 7.03154e-06 -1.2501
5.75 4750.0 1.525 -1.8615 1.4526 -0.462 8.73985e-06 -1.0418
5.75 5000.0 1.2037 -0.9665 0.5313 -0.1223 1.09865e-05 -0.8561
5.75 5250.0 0.7691 0.1639 -0.5833 0.2747 1.31563e-05 -0.6896
5.75 5500.0 0.2986 1.3038 -1.6511 0.6367 1.55072e-05 -0.5397
5.75 5750.0 -0.0247 1.9838 -2.2002 0.7959 1.80129e-05 -0.4042
5.75 6000.0 -0.1578 2.1404 -2.2031 0.7551 2.06669e-05 -0.2812
5.75 6250.0 -0.1861 2.0356 -1.9567 0.6304 2.34701e-05 -0.1692
5.75 6500.0 -0.155 1.7957 -1.5931 0.4701 2.64306e-05 -0.0668
5.75 7000.0 -0.0346 1.2428 -0.8592 0.1651 3.28309e-05 0.1135
5.75 7500.0 0.0698 0.8557 -0.3896 -0.0237 3.99525e-05 0.2669
5.75 8000.0 0.1083 0.7434 -0.2745 -0.0716 4.78173e-05 0.3987
5.75 8500.0 0.1167 0.7897 -0.3879 -0.0211 5.62881e-05 0.5129
5.75 9000.0 0.205 0.6388 -0.3302 -0.018 6.49437e-05 0.6128
5.75 9500.0 0.3566 0.2338 0.0298 -0.1254 7.27318e-05 0.7008
5.75 10000.0 0.497 -0.1465 0.3329 -0.1947 7.81087e-05 0.7788
5.75 10500.0 0.5421 -0.2351 0.332 -0.1591 8.29641e-05 0.8483
5.75 11000.0 0.5488 -0.2426 0.3108 -0.1439 8.87124e-05 0.9107
5.75 11500.0 0.5499 -0.2412 0.2896 -0.1325 9.45419e-05 0.967
5.75 12000.0 0.5558 -0.2619 0.2952 -0.131 0.000100332 1.0179
5.75 12500.0 0.5592 -0.2858 0.3112 -0.1346 0.000106132 1.0642
5.75 13000.0 0.5628 -0.3138 0.3357 -0.1424 0.000112008 1.1065
5.75 13500.0 0.5643 -0.3372 0.3573 -0.1494 0.000117952 1.1452
5.75 14000.0 0.5657 -0.3602 0.38 -0.1574 0.000123947 1.1809
5.75 14500.0 0.5674 -0.3832 0.4036 -0.1659 0.000129996 1.2137
5.75 15000.0 0.5686 -0.4034 0.4238 -0.173 0.000136104 1.2441
5.75 15500.0 0.5698 -0.4223 0.4426 -0.1797 0.000142266 1.2723
5.75 16000.0 0.5713 -0.4407 0.4608 -0.1861 0.000148488 1.2985
5.75 16500.0 0.5739 -0.4606 0.4804 -0.1929 0.000154771 1.323
5.75 17000.0 0.5311 -0.3684 0.3832 -0.1562 0.000161133 1.3458
5.75 20000.0 0.6365 -0.6823 0.6975 -0.2694 0.000200859 1.4563
5.75 25000.0 0.8499 -1.1947 1.1716 -0.431 0.000275956 1.5765
5.75 30000.0 0.7999 -1.003 0.8966 -0.3133 0.000377326 1.6535
5.75 35000.0 0.6013 -0.6937 0.6173 -0.2193 0.000497476 1.7069
5.75 40000.0 0.5884 -0.8099 0.7799 -0.2872 0.000591292 1.7462
5.75 45000.0 0.6353 -1.0091 1.0049 -0.373 0.000668888 1.7762
5.75 50000.0 0.6975 -1.2122 1.2215 -0.4532 0.000739777 1.7999
5.75 55000.0 0.7607 -1.395 1.4098 -0.5217 0.000804857 1.819
5.75 60000.0 0.8222 -1.5606 1.576 -0.5813 0.000867361 1.8348
6.0 3750.0 1.9075 -2.7609 2.3627 -0.7977 3.72305e-06 -2.0559
6.0 4000.0 1.7956 -2.6119 2.2542 -0.7663 4.56006e-06 -1.7515
6.0 4250.0 1.7524 -2.5575 2.2179 -0.7567 5.65821e-06 -1.485
6.0 4500.0 1.7607 -2.5827 2.2519 -0.7708 7.0498e-06 -1.2501
6.0 4750.0 1.5726 -2.005 1.6063 -0.5201 8.7386e-06 -1.0418
6.0 5000.0 1.3004 -1.2329 0.7984 -0.2191 1.10117e-05 -0.8561
6.0 5250.0 0.925 -0.2374 -0.1965 0.1395 1.31877e-05 -0.6896
6.0 5500.0 0.4626 0.9126 -1.298 0.5212 1.55338e-05 -0.5397
6.0 5750.0 0.0875 1.7546 -2.0315 0.7526 1.80394e-05 -0.4042
6.0 6000.0 -0.1063 2.0846 -2.2208 0.7812 2.06911e-05 -0.2812
6.0 6250.0 -0.1716 2.0858 -2.0884 0.6985 2.34926e-05 -0.1692
6.0 6500.0 -0.167 1.9211 -1.8047 0.5669 2.64412e-05 -0.0668
6.0 7000.0 -0.0805 1.4605 -1.1652 0.2946 3.28146e-05 0.1135
6.0 7500.0 0.0174 1.0654 -0.6646 0.0883 3.98724e-05 0.2669
6.0 8000.0 0.065 0.9033 -0.4782 0.0106 4.76581e-05 0.3987
6.0 8500.0 0.073 0.9286 -0.5514 0.0422 5.60798e-05 0.5129
