Mass Teff Radius H_mass
0.200  6432 0.022318 10
0.200  6333 0.022253 10
0.200  6236 0.022191 10
0.200  6141 0.022131 10
0.200  6048 0.022073 10
0.200  5957 0.022015 10
0.200  5868 0.021960 10
0.200  5781 0.021907 10
0.200  5695 0.021855 10
0.200  5612 0.021804 10
0.200  5531 0.021755 10
0.200  5452 0.021705 10
0.200  5375 0.021657 10
0.200  5300 0.021611 10
0.200  5234 0.021562 10
0.200  5163 0.021517 10
0.200  5105 0.021467 10
0.200  5041 0.021423 10
0.200  4980 0.021380 10
0.200  4927 0.021333 10
0.200  4869 0.021293 10
0.200  4811 0.021255 10
0.200  4762 0.021215 10
0.200  4708 0.021179 10
0.200  4650 0.021147 10
0.200  4603 0.021112 10
0.200  4546 0.021082 10
0.200  4520 0.021067 10
0.200  4488 0.021043 10
0.200  4447 0.021022 10
0.200  4396 0.020995 10
0.200  4352 0.020964 10
0.200  4299 0.020940 10
0.200  4250 0.020915 10
0.200  4202 0.020891 10
0.200  4154 0.020868 10
0.200  4107 0.020845 10
0.200  4059 0.020823 10
0.200  4012 0.020802 10
0.200  3964 0.020781 10
0.200  3917 0.020761 10
0.200  3869 0.020742 10
0.200  3821 0.020723 10
0.200  3773 0.020705 10
0.200  3725 0.020687 10
0.200  3677 0.020670 10
0.200  3628 0.020653 10
0.200  3581 0.020635 10
0.200  3533 0.020620 10
0.200  3485 0.020604 10
0.200  3437 0.020590 10
0.200  3390 0.020575 10
0.200  3345 0.020561 10
0.200  3300 0.020547 10
0.200  3256 0.020534 10
0.200  3219 0.020519 10
0.200  3189 0.020504 10
0.200  3160 0.020491 10
0.200  3131 0.020478 10
0.200  3103 0.020466 10
0.200  3074 0.020454 10
0.200  3046 0.020443 10
0.200  3019 0.020432 10
0.200  2996 0.020420 10
0.200  2971 0.020411 10
0.200  2942 0.020401 10
0.200  2916 0.020391 10
0.200  2893 0.020381 10
0.200  2869 0.020373 10
0.200  2842 0.020365 10
0.200  2817 0.020356 10
0.200  2795 0.020348 10
0.200  2769 0.020340 10
0.200  2745 0.020332 10
0.200  2724 0.020325 10
0.200  2703 0.020318 10
0.200  2677 0.020312 10
0.200  2656 0.020304 10
0.200  2635 0.020298 10
0.200  2612 0.020292 10
0.200  2589 0.020287 10
0.200  2568 0.020279 10
0.200  2550 0.020273 10
0.200  2531 0.020268 10
0.200  2511 0.020263 10
0.200  2489 0.020258 10
0.200  2468 0.020253 10
0.200  2450 0.020248 10
0.200  2434 0.020243 10
0.200  2417 0.020239 10
0.200  2399 0.020235 10
0.200  2379 0.020231 10
0.200  2361 0.020227 10
0.200  2345 0.020223 10
0.200  2331 0.020219 10
0.200  2316 0.020216 10
0.200  2299 0.020212 10
0.200  2281 0.020209 10
0.250 21347 0.043647 10
0.250 21036 0.041427 10
0.250 20573 0.038967 10
0.250 20093 0.037018 10
0.250 19673 0.035614 10
0.250 19297 0.034521 10
0.250 18952 0.033612 10
0.250 18630 0.032831 10
0.250 18326 0.032144 10
0.250 18037 0.031531 10
0.250 17761 0.030976 10
0.250 17495 0.030468 10
0.250 17237 0.030000 10
0.250 16986 0.029565 10
0.250 16739 0.029160 10
0.250 16495 0.028779 10
0.250 16255 0.028420 10
0.250 16019 0.028081 10
0.250 15787 0.027761 10
0.250 15559 0.027456 10
0.250 15333 0.027167 10
0.250 15110 0.026891 10
0.250 14889 0.026626 10
0.250 14669 0.026373 10
0.250 14451 0.026131 10
0.250 14232 0.025899 10
0.250 14015 0.025675 10
0.250 13800 0.025460 10
0.250 13587 0.025253 10
0.250 13376 0.025055 10
0.250 13169 0.024864 10
0.250 12965 0.024680 10
0.250 12764 0.024503 10
0.250 12567 0.024333 10
0.250 12374 0.024168 10
0.250 12185 0.024009 10
0.250 11997 0.023856 10
0.250 11810 0.023707 10
0.250 11624 0.023563 10
0.250 11439 0.023425 10
0.250 11255 0.023291 10
0.250 11075 0.023161 10
0.250 10896 0.023035 10
0.250 10719 0.022915 10
0.250 10546 0.022797 10
0.250 10375 0.022684 10
0.250 10205 0.022577 10
0.250 10037 0.022475 10
0.250  9871 0.022376 10
0.250  9710 0.022267 10
0.250  9557 0.022163 10
0.250  9410 0.022070 10
0.250  9278 0.021970 10
0.250  9152 0.021877 10
0.250  9030 0.021793 10
0.250  8885 0.021692 10
0.250  8741 0.021599 10
0.250  8600 0.021502 10
0.250  8461 0.021413 10
0.250  8325 0.021321 10
0.250  8244 0.020956 10
0.250  8257 0.020570 10
0.250  8158 0.020529 10
0.250  8100 0.020505 10
0.250  8018 0.020471 10
0.250  7903 0.020420 10
0.250  7775 0.020366 10
0.250  7650 0.020314 10
0.250  7527 0.020263 10
0.250  7407 0.020213 10
0.250  7289 0.020165 10
0.250  7175 0.020117 10
0.250  7062 0.020071 10
0.250  6952 0.020027 10
0.250  6844 0.019985 10
0.250  6739 0.019942 10
0.250  6636 0.019902 10
0.250  6535 0.019863 10
0.250  6435 0.019825 10
0.250  6338 0.019789 10
0.250  6243 0.019754 10
0.250  6150 0.019719 10
0.250  6059 0.019686 10
0.250  5969 0.019654 10
0.250  5882 0.019622 10
0.250  5796 0.019592 10
0.250  5713 0.019562 10
0.250  5631 0.019533 10
0.250  5552 0.019503 10
0.250  5475 0.019475 10
0.250  5399 0.019447 10
0.250  5326 0.019421 10
0.250  5261 0.019392 10
0.250  5192 0.019367 10
0.250  5132 0.019339 10
0.250  5077 0.019312 10
