Mass Teff Radius H_mass
0.200  5131 0.022998 4
0.200  5061 0.022858 4
0.200  4990 0.022729 4
0.200  4919 0.022622 4
0.200  4857 0.022476 4
0.200  4793 0.022361 4
0.200  4735 0.022253 4
0.200  4672 0.022151 4
0.200  4613 0.022075 4
0.200  4562 0.021989 4
0.200  4495 0.021905 4
0.200  4442 0.021845 4
0.200  4392 0.021788 4
0.200  4350 0.021720 4
0.200  4296 0.021669 4
0.200  4251 0.021613 4
0.200  4204 0.021563 4
0.200  4158 0.021520 4
0.200  4105 0.021485 4
0.200  4058 0.021446 4
0.200  4008 0.021411 4
0.200  3960 0.021377 4
0.200  3911 0.021345 4
0.200  3862 0.021316 4
0.200  3819 0.021282 4
0.200  3771 0.021254 4
0.200  3722 0.021227 4
0.200  3702 0.021211 4
0.200  3694 0.021205 4
0.200  3675 0.021200 4
0.200  3658 0.021194 4
0.200  3638 0.021184 4
0.200  3612 0.021167 4
0.200  3572 0.021143 4
0.200  3532 0.021115 4
0.200  3490 0.021089 4
0.200  3457 0.021060 4
0.200  3424 0.021033 4
0.200  3401 0.021004 4
0.200  3388 0.020990 4
0.200  3366 0.020972 4
0.200  3339 0.020947 4
0.200  3317 0.020922 4
0.200  3293 0.020900 4
0.200  3265 0.020879 4
0.200  3241 0.020857 4
0.200  3218 0.020836 4
0.200  3192 0.020817 4
0.200  3166 0.020798 4
0.200  3144 0.020778 4
0.200  3120 0.020761 4
0.200  3093 0.020745 4
0.200  3071 0.020727 4
0.200  3046 0.020712 4
0.200  3026 0.020695 4
0.200  3007 0.020681 4
0.200  2983 0.020667 4
0.200  2963 0.020653 4
0.200  2941 0.020640 4
0.200  2913 0.020629 4
0.200  2887 0.020616 4
0.200  2860 0.020605 4
0.200  2834 0.020594 4
0.200  2814 0.020582 4
0.200  2778 0.020566 4
0.200  2753 0.020554 4
0.200  2730 0.020545 4
0.200  2702 0.020537 4
0.200  2676 0.020527 4
0.200  2656 0.020521 4
0.200  2624 0.020513 4
0.200  2596 0.020504 4
0.200  2566 0.020496 4
0.200  2540 0.020487 4
0.200  2504 0.020467 4
0.200  2476 0.020459 4
0.200  2449 0.020452 4
0.200  2422 0.020446 4
0.200  2395 0.020439 4
0.200  2369 0.020433 4
0.200  2342 0.020427 4
0.200  2316 0.020421 4
0.200  2290 0.020415 4
0.250 18935 0.040259 4
0.250 18528 0.038620 4
0.250 18100 0.037124 4
0.250 17708 0.035913 4
0.250 17346 0.034892 4
0.250 17006 0.034008 4
0.250 16682 0.033226 4
0.250 16371 0.032523 4
0.250 16067 0.031884 4
0.250 15770 0.031295 4
0.250 15479 0.030753 4
0.250 15193 0.030250 4
0.250 14913 0.029780 4
0.250 14637 0.029340 4
0.250 14364 0.028925 4
0.250 14094 0.028534 4
0.250 13824 0.028164 4
0.250 13556 0.027813 4
0.250 13289 0.027482 4
0.250 13026 0.027165 4
0.250 12767 0.026865 4
0.250 12513 0.026578 4
0.250 12265 0.026303 4
0.250 12023 0.026043 4
0.250 11787 0.025795 4
0.250 11553 0.025556 4
0.250 11321 0.025328 4
0.250 11091 0.025107 4
0.250 10862 0.024898 4
0.250 10636 0.024698 4
0.250 10416 0.024505 4
0.250 10198 0.024322 4
0.250  9986 0.024145 4
0.250  9773 0.023981 4
0.250  9570 0.023798 4
0.250  9440 0.023686 4
0.250  9315 0.023580 4
0.250  9196 0.023480 4
0.250  9084 0.023382 4
0.250  8927 0.023247 4
0.250  8780 0.023119 4
0.250  8598 0.022965 4
0.250  8418 0.022819 4
0.250  8242 0.022679 4
0.250  8069 0.022546 4
0.250  7900 0.022417 4
0.250  7734 0.022291 4
0.250  7573 0.022167 4
0.250  7414 0.022052 4
0.250  7260 0.021941 4
0.250  7109 0.021833 4
0.250  6961 0.021730 4
0.250  6817 0.021628 4
0.250  6676 0.021529 4
0.250  6539 0.021434 4
0.250  6405 0.021337 4
0.250  6274 0.021243 4
0.250  6147 0.021149 4
0.250  6023 0.021051 4
0.250  5903 0.020946 4
0.250  5788 0.020829 4
0.250  5678 0.020701 4
0.250  5571 0.020570 4
0.250  5503 0.020480 4
0.250  5415 0.020339 4
0.250  5330 0.020205 4
0.250  5268 0.020080 4
0.250  5205 0.019973 4
0.250  5140 0.019885 4
0.250  5081 0.019808 4
0.250  5026 0.019739 4
0.250  4970 0.019675 4
0.250  4919 0.019620 4
0.250  4864 0.019572 4
0.250  4809 0.019530 4
0.250  4760 0.019489 4
0.250  4707 0.019454 4
0.250  4658 0.019419 4
0.250  4607 0.019387 4
0.250  4553 0.019358 4
0.250  4506 0.019328 4
0.250  4454 0.019300 4
0.250  4401 0.019272 4
0.250  4354 0.019243 4
0.250  4300 0.019219 4
0.250  4245 0.019194 4
0.250  4183 0.019172 4
0.250  4122 0.019149 4
0.250  4058 0.019130 4
0.250  3990 0.019110 4
0.250  3922 0.019095 4
0.250  3860 0.019077 4
0.250  3814 0.019067 4
0.250  3757 0.019052 4
0.250  3699 0.019036 4
0.250  3649 0.019021 4
0.250  3622 0.019014 4
0.250  3584 0.019004 4
0.250  3529 0.018992 4
0.250  3482 0.018978 4
0.250  3444 0.018965 4
0.250  3410 0.018954 4
0.250  3376 0.018942 4
0.250  3337 0.018932 4
0.250  3292 0.018922 4
0.250  3244 0.018913 4
0.250  3195 0.018903 4
0.250  3144 0.018895 4
0.250  3096 0.018886 4
0.250  3050 0.018878 4
0.250  3001 0.018870 4
0.250  2952 0.018863 4
0.250  2902 0.018856 4
0.250  2849 0.018850 4
0.250  2798 0.018842 4
0.250  2748 0.018836 4
