Teff R M
60000.0 0.0686427131573078 0.3
2500.0 0.015050946406630654 0.4
2750.0 0.015068284427698444 0.4
3000.0 0.015068284427698444 0.4
3250.0 0.015068284427698444 0.4
3500.0 0.015085642421395642 0.4
3750.0 0.015103020410729797 0.4
4000.0 0.015120418418735019 0.4
4250.0 0.015137836468471918 0.4
4500.0 0.015172732785516055 0.4
4750.0 0.015225228152114415 0.4
5000.0 0.015313124353452407 0.4
5250.0 0.015454814948573006 0.4
5500.0 0.01556194260796243 0.4
6000.0 0.015742141410586493 0.4
6500.0 0.015851260721862954 0.4
7000.0 0.01592442681700323 0.4
7500.0 0.016016359536284358 0.4
8000.0 0.016090287692927228 0.4
8500.0 0.01618317793749459 0.4
9000.0 0.016257876092892008 0.4
9500.0 0.016351733835850726 0.4
10000.0 0.01644613342547276 0.4
10500.0 0.016541077989873004 0.4
11000.0 0.016617428136852828 0.4
11500.0 0.016713361596413737 0.4
12000.0 0.016790506968389775 0.4
12500.0 0.016868008427223784 0.4
13000.0 0.01694586761653806 0.4
13500.0 0.017024086187541438 0.4
14000.0 0.017102665799064463 0.4
14500.0 0.017181608117594414 0.4
15000.0 0.01728079862372846 0.4
15500.0 0.017360563166018785 0.4
16000.0 0.01744069588470795 0.4
16500.0 0.01754138212084454 0.4
17000.0 0.01764264962496574 0.4
20000.0 0.018241637003979544 0.4
25000.0 0.019389374960899323 0.4
30000.0 0.020704455295085095 0.4
35000.0 0.022623709173178335 0.4
40000.0 0.02424174113514173 0.4
45000.0 0.025856147066610154 0.4
50000.0 0.027673482119947003 0.4
55000.0 0.02965267033467093 0.4
60000.0 0.03203050672694387 0.4
65000.0 0.03471872831107169 0.4
70000.0 0.0380245260275655 0.4
75000.0 0.04320796468524955 0.4
80000.0 0.05105800121368969 0.4
85000.0 0.06159760255938693 0.4
2500.0 0.013536887380003188 0.5
2750.0 0.013552481272390143 0.5
3000.0 0.013552481272390143 0.5
3250.0 0.013552481272390143 0.5
3500.0 0.013568093128247806 0.5
3750.0 0.013568093128247806 0.5
4000.0 0.013583722968269275 0.5
4250.0 0.01359937081317153 0.5
4500.0 0.013615036683695379 0.5
4750.0 0.013646422584690633 0.5
5000.0 0.013693637148241329 0.5
5250.0 0.013772691378221067 0.5
5500.0 0.013852201993251033 0.5
6000.0 0.01396428860061573 0.5
6500.0 0.014044905318481555 0.5
7000.0 0.014109733655911574 0.5
7500.0 0.01415855120587722 0.5
8000.0 0.014207537657201513 0.5
8500.0 0.014256693594257677 0.5
9000.0 0.014306019603440776 0.5
9500.0 0.014355516273174699 0.5
10000.0 0.014405184193919236 0.5
10500.0 0.014455023958177035 0.5
11000.0 0.014521745317237166 0.5
11500.0 0.014571988365398148 0.5
12000.0 0.014605580267848771 0.5
12500.0 0.014656113372292187 0.5
13000.0 0.014706821313653947 0.5
13500.0 0.014757704696843404 0.5
14000.0 0.014808764128862843 0.5
14500.0 0.014860000218814642 0.5
15000.0 0.014894256057156646 0.5
15500.0 0.0149457879362837 0.5
16000.0 0.014997498107938838 0.5
16500.0 0.015049387188987313 0.5
17000.0 0.015084079609384416 0.5
20000.0 0.015399932448610482 0.5
25000.0 0.015996273310085695 0.5
30000.0 0.01661570663798906 0.5
35000.0 0.017620523857227573 0.5
40000.0 0.01842972334064576 0.5
45000.0 0.019387366299469293 0.5
50000.0 0.020512510474047164 0.5
55000.0 0.021778041237288166 0.5
60000.0 0.023255132366115178 0.5
65000.0 0.025004536915700867 0.5
