Teff	logg	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
16000.0	7.5	21851.416256076092	28090.627340931635	29512.960226330855	30007.66828147097	30241.279578529793
16500.0	7.5	22669.521565461368	28984.300014752356	30400.086128518436	30874.67986818408	31127.195992559326
17000.0	7.5	23497.724032270286	29869.277780658565	31304.22602463993	31779.613776746537	32003.748845557537
20000.0	7.5	28932.528359654636	35493.15288319662	36965.248994049594	37425.01847237007	37642.169080231375
25000.0	7.5	39803.595368598835	46303.56689032932	47717.06461156069	48094.04340581138	48203.839346632674
30000.0	7.5	54590.96922863726	60285.0348345269	61675.858552999794	61926.039588615684	61940.309706507614
4000.0	8.0	4462.735510862498	5121.569153029698	5550.146077507851	5831.994187234925	6141.786725928658
4250.0	8.0	4732.290049654099	5395.106900802021	5830.079144651503	6136.427594617417	6490.887574660239
4500.0	8.0	5054.519726965245	5718.807359038723	6163.244830093822	6501.114796859296	6898.336622992623
4750.0	8.0	5427.693900134927	6091.960211357474	6555.109163676235	6926.525124427141	7366.152577621362
5000.0	8.0	5838.170128974489	6499.912106140236	6985.925921228823	7394.627166083895	7879.772766755553
5250.0	8.0	6287.667273027723	6939.337841351876	7447.341465832094	7897.234034972602	8432.010728842375
5500.0	8.0	6772.987830697074	7395.737824505576	7930.783440744259	8424.935598385277	9006.005931609507
6000.0	8.0	7807.759353127762	8338.516319832346	8917.878686088483	9500.739675072487	10172.414452724946
6500.0	8.0	8801.498975634415	9310.902142597814	9952.234546503454	10613.206097320923	11371.067366053034
7000.0	8.0	9704.776045007053	10276.665653976776	10995.604682588693	11741.290321010136	12572.25572240831
7500.0	8.0	10534.821242148131	11243.332173075874	12064.800305160714	12896.34045721004	13795.821992191122
8000.0	8.0	11302.676315796987	12219.024315644958	13174.42812411202	14092.748137796594	15038.187765292916
8500.0	8.0	12044.198558603986	13235.948722041341	14343.132773152529	15351.3249701605	16330.98082309491
9000.0	8.0	12762.278536102658	14291.10690299827	15571.085483269408	16656.327684007047	17637.388847108537
9500.0	8.0	13490.877772450069	15396.82403302399	16863.91867994855	18023.187166708252	18986.603860829124
10000.0	8.0	14232.817695475655	16544.96305302172	18193.142578626852	19418.145781581436	20311.417067583003
10500.0	8.0	14959.940220060756	17683.8750663142	19483.170868545698	20733.596554189306	21553.24065060932
11000.0	8.0	15670.905975249478	18799.572177765796	20718.553429152787	21976.211590976087	22693.484038645904
11500.0	8.0	16360.64138477075	19846.307520079816	21854.244813803623	23083.01746373582	23716.43490800182
12000.0	8.0	16978.69131838891	20829.569739086382	22871.67085001586	24011.227390183958	24558.500772374697
12500.0	8.0	17472.003231369512	21671.890883773372	23685.219329172553	24736.214414088867	25186.060632664587
13000.0	8.0	17931.074819343085	22462.920366540908	24417.723727563778	25356.87201342463	25761.517364008585
13500.0	8.0	18480.916246984063	23363.33437576109	25257.968089435453	26086.95929337446	26432.732626937457
14000.0	8.0	19140.384375525246	24285.50208537299	26162.323860623987	26920.741121920455	27196.182161297107
14500.0	8.0	19852.073450505162	25199.879624407957	27051.735580457345	27783.494009897968	28032.587827145937
15000.0	8.0	20594.26681386353	26080.931780035997	27917.111401530092	28619.179671966747	28846.014359329845
15500.0	8.0	21369.437254577897	26970.17179829348	28813.71914537223	29497.12406357013	29705.225316156644
16000.0	8.0	22172.32870451597	27859.55422478376	29706.754800577404	30385.16266608081	30590.407887863403
16500.0	8.0	22980.682819676516	28775.19425059496	30619.24968645281	31262.911702023095	31457.381767791838
17000.0	8.0	23835.399177434185	29675.882958055096	31521.58475208866	32166.431087595385	32378.94769041592
20000.0	8.0	29297.41200731051	35324.049715761634	37209.92558744203	37835.215309300824	37997.204407314
25000.0	8.0	40313.30917074989	46182.20220330535	48051.08849267361	48600.89523384385	48661.56309172779
30000.0	8.0	55283.7439421298	60298.370332535036	62108.45235723381	62570.24040698185	62558.993680906664
4000.0	8.5	4477.117838386734	5164.9295562399075	5627.035683188086	5915.65868619532	6218.389427115888
4250.0	8.5	4733.626202971586	5429.71528455151	5898.253720940733	6214.493866840917	6566.810441409313
4500.0	8.5	5043.789364787888	5744.474848193595	6222.188838617798	6566.2113044221705	6964.00088601381
4750.0	8.5	5400.904491381511	6103.465465877448	6595.346633409725	6972.20709911079	7413.148753218948
5000.0	8.5	5800.084582640213	6502.980291262384	7015.590124462267	7428.741412530405	7917.315508170859
5250.0	8.5	6234.874733907688	6936.026536984132	7474.711716065896	7927.949898667127	8464.817924583609
5500.0	8.5	6698.551211045229	7388.304092269109	7952.616906688964	8451.989195320142	9033.9706014125
6000.0	8.5	7712.366329479576	8330.66357541965	8942.977383850817	9533.235602380048	10213.670842635376
6500.0	8.5	8750.52222637423	9303.044734561458	9965.036900407895	10645.701159691376	11414.539219175687
7000.0	8.5	9712.060653264894	10282.766221305757	11013.090566123792	11780.076309021764	12619.805984864195
7500.0	8.5	10592.893694669572	11249.779916058264	12074.665520066057	12928.718458304127	13840.197648319387
8000.0	8.5	11410.874099899063	12221.619069664484	13168.380667156885	14114.35919403076	15085.439640989345
8500.0	8.5	12184.194013937593	13210.858933384112	14301.612350709109	15348.392274685217	16350.697207630697
9000.0	8.5	12932.04045422366	14224.90849615562	15494.342854069384	16634.750740473668	17658.679236456006
9500.0	8.5	13676.786655071099	15270.011932806256	16742.54523469146	17973.551548709613	18993.119027982484
10000.0	8.5	14439.331239701938	16361.66583433384	18040.229251668385	19353.498466206052	20345.34872175547
10500.0	8.5	15209.966468854129	17473.61818736946	19340.104949173794	20721.92119226847	21646.513261637738
11000.0	8.5	15973.950059737765	18562.41243693171	20596.38209089456	22025.23650061267	22871.066594921696
11500.0	8.5	16715.333199096625	19604.19289297811	21780.679133247835	23201.043819587074	23976.301301958734
12000.0	8.5	17451.253835955802	20614.61211910699	22892.78554120203	24310.879834772422	25021.63092711136
12500.0	8.5	18148.646986137763	21582.35409079424	23930.419063909674	25307.17417864663	25933.093579447897
13000.0	8.5	18752.975152350882	22461.272624343834	24835.256663720324	26141.798007011515	26693.162563408576
13500.0	8.5	19245.431613135956	23207.716569963934	25576.034405691822	26813.083390335047	27285.58396928851
14000.0	8.5	19755.006746701332	23982.370271746586	26328.083832191733	27462.01209789343	27882.961999029314
14500.0	8.5	20354.764319582868	24847.284965101597	27164.099908270855	28217.179295996135	28565.296271461804
15000.0	8.5	21047.125463439745	25774.91597486041	28075.739813195778	29064.83545375894	29346.01400168555
15500.0	8.5	21796.010036023647	26691.258806467897	28982.256761154575	29913.64946843074	30176.057480116222
16000.0	8.5	22584.96681971465	27606.248304086093	29930.970377134086	30825.58531534644	31053.837797364333
16500.0	8.5	23403.26616147056	28522.56531122698	30828.276141664406	31715.86415613832	31906.427325238168
17000.0	8.5	24234.00866825409	29428.15274407184	31731.624452666736	32607.37352365177	32786.84759322752
20000.0	8.5	29751.811975901695	35119.674773373954	37514.07041279494	38323.843038343555	38464.42222842308
25000.0	8.5	40923.45836798273	46081.44350685621	48446.99765150209	49184.74102048085	49199.5850964995
30000.0	8.5	56026.42208387458	60274.8295271905	62594.34280532347	63282.32230928242	63244.97147722054
4000.0	9.0	4502.275535164875	5219.597175682361	5720.130989162434	6013.989780230862	6299.355234042289
4250.0	9.0	4741.004658865895	5469.438679532398	5977.14276764378	6300.070161559882	6648.054558925769
4500.0	9.0	5036.24562380347	5774.331462005509	6289.5971688624795	6642.7938750416015	7039.0910731698
4750.0	9.0	5379.561258065886	6121.721751447122	6647.4398464003825	7033.156572164351	7473.713012758261
5000.0	9.0	5767.988866654597	6512.286293922472	7056.2026972819485	7476.378026573243	7965.639414005485
5250.0	9.0	6189.131270257239	6938.410321901497	7505.252952230623	7964.920226614717	8501.43633704258
5500.0	9.0	6638.963538564032	7386.297973484603	7981.972227501344	8484.584956131803	9068.105759899201
6000.0	9.0	7617.627683270924	8329.22858118865	8974.721270161113	9574.096122613586	10254.291958374904
6500.0	9.0	8673.14914923442	9305.34069404156	9995.327227504791	10694.798164681688	11466.194777247172
7000.0	9.0	9691.626069589354	10291.056598597756	11036.630790166135	11827.423459498876	12680.60147802867
7500.0	9.0	10634.17738631326	11273.702577725326	12095.279832948881	12977.474715111526	13897.609031691107
8000.0	9.0	11505.568035421815	12241.954635750275	13175.915639143619	14152.349340644378	15134.565208220343
