#     6   58  Pure hydrogen grid                   Sun Sep  6 14:45:00 2015
  Teff  logg  M/Mo  Mbol     BC     Age      U      B      V      R      I      J      H      K    IR1    IR2    IR3    IR4     u      g      r      i      z      KG5
 30000. 7.0  0.304  5.291 -3.024 1.096E+06  6.932  8.075  8.315  8.451  8.618  8.980  9.091  9.190  9.257  9.294  9.322  9.350  7.778  8.049  8.535  8.899  9.244  8.102
 35000. 7.0  0.320  4.566 -3.388 5.757E+05  6.461  7.680  7.954  8.095  8.271  8.656  8.770  8.868  8.929  8.955  8.974  8.986  7.306  7.669  8.176  8.550  8.901  7.695
 40000. 7.0  0.338  3.925 -3.775 3.166E+05  6.155  7.408  7.701  7.844  8.025  8.419  8.535  8.632  8.690  8.712  8.729  8.737  7.000  7.405  7.925  8.303  8.657  7.418
 45000. 7.0  0.353  3.368 -4.148 1.857E+05  5.938  7.211  7.516  7.661  7.845  8.244  8.360  8.457  8.512  8.533  8.548  8.553  6.782  7.213  7.741  8.122  8.478  7.218
 50000. 7.0  0.366  2.869 -4.494 1.156E+05  5.763  7.051  7.363  7.510  7.696  8.098  8.215  8.311  8.365  8.385  8.398  8.402  6.607  7.056  7.589  7.973  8.330  7.055
 55000. 7.0  0.379  2.417 -4.814 7.754E+04  5.613  6.911  7.231  7.379  7.566  7.971  8.088  8.184  8.237  8.256  8.268  8.271  6.458  6.920  7.457  7.842  8.200  6.915
 60000. 7.0  0.394  1.999 -5.108 5.576E+04  5.475  6.782  7.107  7.256  7.445  7.851  7.968  8.065  8.116  8.135  8.147  8.149  6.320  6.793  7.334  7.720  8.079  6.784
 65000. 7.0  0.411  1.605 -5.380 4.709E+04  5.342  6.656  6.985  7.134  7.324  7.733  7.850  7.946  7.998  8.016  8.028  8.029  6.187  6.668  7.212  7.600  7.959  6.657
 70000. 7.0  0.430  1.233 -5.632 4.410E+04  5.212  6.533  6.865  7.016  7.207  7.617  7.734  7.831  7.882  7.900  7.911  7.913  6.058  6.546  7.094  7.482  7.842  6.533
 75000. 7.0  0.452  0.879 -5.867 3.458E+04  5.085  6.410  6.746  6.897  7.089  7.500  7.618  7.715  7.766  7.784  7.795  7.797  5.930  6.425  6.975  7.364  7.724  6.409
 80000. 7.0  0.472  0.552 -6.086 2.808E+04  4.970  6.299  6.638  6.790  6.983  7.395  7.514  7.611  7.662  7.680  7.691  7.693  5.815  6.316  6.867  7.258  7.618  6.298
 85000. 7.0  0.489  0.251 -6.292 2.660E+04  4.868  6.202  6.543  6.696  6.890  7.303  7.422  7.519  7.570  7.588  7.600  7.602  5.714  6.219  6.773  7.164  7.525  6.200
 90000. 7.0  0.506 -0.034 -6.486 2.945E+04  4.771  6.108  6.451  6.605  6.799  7.214  7.334  7.431  7.482  7.500  7.512  7.514  5.616  6.126  6.682  7.074  7.435  6.106
100000. 7.0  0.543 -0.569 -6.841 3.168E+04  4.582  5.925  6.273  6.427  6.623  7.040  7.160  7.257  7.309  7.327  7.339  7.343  5.428  5.945  6.504  6.897  7.259  5.922
110000. 7.0  0.576 -1.046 -7.162 1.863E+04  4.417  5.765  6.116  6.271  6.469  6.888  7.009  7.107  7.160  7.179  7.191  7.197  5.263  5.786  6.348  6.742  7.106  5.762
120000. 7.0  0.582 -1.437 -7.454 8.709E+03  4.312  5.663  6.018  6.174  6.373  6.794  6.916  7.015  7.069  7.088  7.102  7.108  5.157  5.686  6.250  6.646  7.010  5.660
  1500. 7.5  0.317 19.506  1.071 1.581E+10 23.203 20.817 18.434 18.314 20.176 20.209 20.188 21.158 16.758 16.328 16.179 15.702 24.229 19.570 18.180 20.426 20.053 19.192
  1750. 7.5  0.317 18.836  0.870 1.392E+10 22.479 20.302 17.966 17.628 18.872 18.965 19.084 19.943 16.177 15.814 15.700 15.324 23.470 19.110 17.529 19.171 18.929 18.604
  2000. 7.5  0.317 18.256  0.646 1.234E+10 21.847 19.854 17.610 17.092 17.787 17.959 18.180 18.891 15.697 15.387 15.285 14.980 22.816 18.726 17.055 18.115 17.979 18.138
  2250. 7.5  0.317 17.744  0.420 1.102E+10 21.291 19.463 17.324 16.666 16.898 17.116 17.419 17.991 15.292 15.025 14.927 14.667 22.241 18.395 16.713 17.263 17.184 17.764
  2500. 7.5  0.317 17.285  0.196 1.005E+10 20.808 19.127 17.089 16.331 16.191 16.408 16.764 17.207 14.939 14.707 14.606 14.377 21.740 18.113 16.464 16.608 16.535 17.467
  2750. 7.5  0.317 16.871  0.003 8.878E+09 20.349 18.803 16.868 16.044 15.629 15.795 16.178 16.520 14.623 14.421 14.317 14.106 21.267 17.840 16.252 16.101 15.998 17.203
  3000. 7.5  0.317 16.492 -0.164 7.765E+09 19.906 18.490 16.656 15.802 15.207 15.251 15.635 15.896 14.329 14.153 14.043 13.844 20.811 17.577 16.063 15.725 15.572 16.968
  3250. 7.5  0.318 16.144 -0.301 6.749E+09 19.463 18.175 16.445 15.593 14.902 14.758 15.102 15.300 14.032 13.882 13.768 13.576 20.356 17.312 15.882 15.450 15.248 16.750
  3500. 7.5  0.318 15.821 -0.406 5.702E+09 19.006 17.849 16.227 15.400 14.676 14.324 14.589 14.729 13.732 13.602 13.485 13.302 19.888 17.039 15.698 15.236 15.003 16.535
