#     6   58  Pure hydrogen grid                   Sun Sep  6 14:45:00 2015
  Teff  logg  M/Mo  Mbol     BC     Age      U      B      V      R      I      J      H      K    IR1    IR2    IR3    IR4     u      g      r      i      z      KG5
 16500. 9.0  1.200 11.395 -1.452 9.086E+08 12.011 12.919 12.847 12.939 13.009 13.266 13.300 13.371 13.385 13.415 13.427 13.446 12.849 12.784 13.047 13.313 13.612 12.883
 17000. 9.0  1.200 11.266 -1.532 8.403E+08 11.935 12.856 12.797 12.894 12.971 13.234 13.272 13.345 13.361 13.391 13.403 13.422 12.774 12.726 13.001 13.273 13.576 12.824
 20000. 9.0  1.201 10.558 -1.967 5.130E+08 11.500 12.508 12.525 12.639 12.744 13.044 13.101 13.182 13.212 13.244 13.260 13.282 12.340 12.407 12.739 13.038 13.357 12.489
 25000. 9.0  1.204  9.587 -2.547 2.528E+08 10.896 12.022 12.134 12.266 12.404 12.752 12.833 12.928 12.980 13.020 13.043 13.072 11.737 11.959 12.360 12.690 13.027 12.010
 30000. 9.0  1.206  8.794 -2.972 1.489E+08 10.362 11.576 11.765 11.909 12.069 12.454 12.554 12.659 12.727 12.768 12.794 12.823 11.205 11.543 11.996 12.349 12.699 11.566
 35000. 9.0  1.205  8.125 -3.364 1.116E+08  9.987 11.246 11.488 11.635 11.807 12.206 12.316 12.420 12.488 12.519 12.545 12.565 10.830 11.231 11.719 12.085 12.440 11.239
 40000. 9.0  1.208  7.543 -3.768 7.077E+07  9.760 11.043 11.311 11.459 11.638 12.043 12.157 12.260 12.328 12.357 12.381 12.398 10.604 11.037 11.542 11.914 12.271 11.037
 45000. 9.0  1.210  7.029 -4.152 4.614E+07  9.600 10.897 11.181 11.331 11.514 11.923 12.039 12.142 12.209 12.237 12.259 12.275 10.444 10.897 11.413 11.789 12.148 10.891
 50000. 9.0  1.212  6.570 -4.507 2.818E+07  9.474 10.781 11.077 11.228 11.414 11.826 11.944 12.047 12.113 12.140 12.161 12.176 10.318 10.786 11.309 11.689 12.049 10.776
 55000. 9.0  1.214  6.154 -4.834 1.438E+07  9.368 10.684 10.988 11.140 11.328 11.743 11.862 11.965 12.031 12.057 12.078 12.091 10.213 10.691 11.220 11.603 11.964 10.678
 60000. 9.0  1.217  5.774 -5.136 5.487E+06  9.277 10.598 10.910 11.063 11.253 11.669 11.789 11.892 11.958 11.984 12.004 12.016 10.121 10.608 11.142 11.527 11.889 10.593
 65000. 9.0  1.220  5.423 -5.416 1.821E+06  9.194 10.521 10.839 10.993 11.184 11.602 11.723 11.826 11.891 11.917 11.936 11.948 10.039 10.533 11.072 11.458 11.821 10.516
 70000. 9.0  1.222  5.099 -5.675 9.915E+05  9.120 10.452 10.774 10.929 11.122 11.541 11.663 11.766 11.831 11.856 11.875 11.886  9.965 10.465 11.007 11.396 11.759 10.446
 75000. 9.0  1.224  4.798 -5.917 7.257E+05  9.053 10.388 10.715 10.870 11.065 11.485 11.608 11.711 11.775 11.800 11.819 11.829  9.898 10.403 10.949 11.338 11.702 10.383
 80000. 9.0  1.226  4.516 -6.144 5.943E+05  8.990 10.329 10.660 10.816 11.011 11.433 11.556 11.659 11.723 11.748 11.766 11.776  9.835 10.345 10.894 11.284 11.648 10.324
 85000. 9.0  1.228  4.251 -6.357 4.901E+05  8.932 10.273 10.608 10.764 10.961 11.384 11.507 11.610 11.674 11.699 11.716 11.726  9.777 10.291 10.842 11.234 11.598 10.268
 90000. 9.0  1.229  4.002 -6.558 3.598E+05  8.877 10.221 10.559 10.716 10.913 11.337 11.461 11.564 11.628 11.652 11.670 11.679  9.722 10.240 10.793 11.186 11.551 10.216
100000. 9.0  1.227  3.546 -6.927 8.610E+04  8.781 10.130 10.473 10.631 10.830 11.255 11.380 11.483 11.546 11.570 11.587 11.595  9.626 10.150 10.708 11.102 11.468 10.125
110000. 9.0  1.215  3.143 -7.261 4.321E+03  8.703 10.056 10.404 10.562 10.763 11.189 11.315 11.418 11.481 11.504 11.521 11.529  9.548 10.078 10.639 11.035 11.401 10.051
120000. 9.0  1.192  2.785 -7.564 5.699E+01  8.642  9.998 10.350 10.509 10.711 11.139 11.265 11.368 11.431 11.454 11.470 11.479  9.487 10.021 10.585 10.982 11.350  9.993
  1500. 9.5  1.365 22.919  1.098 3.500E+09 25.365 23.465 21.821 22.105 24.007 23.534 23.365 24.228 20.016 19.597 19.455 19.011 26.331 22.522 21.970 24.432 23.818 22.634
  1750. 9.5  1.365 22.250  1.048 3.499E+09 24.856 23.028 21.202 21.276 22.738 22.425 22.417 23.190 19.521 19.161 19.047 18.685 25.809 22.032 21.162 23.135 22.726 21.970
  2000. 9.5  1.365 21.670  0.906 3.489E+09 24.384 22.665 20.764 20.618 21.663 21.491 21.568 22.203 19.067 18.758 18.657 18.360 25.322 21.670 20.537 22.024 21.798 21.448
  2250. 9.5  1.365 21.158  0.722 3.475E+09 23.951 22.342 20.436 20.096 20.716 20.713 20.881 21.406 18.702 18.434 18.338 18.081 24.876 21.369 20.065 21.091 20.960 21.026
  2500. 9.5  1.365 20.701  0.531 3.463E+09 23.548 22.044 20.169 19.675 19.944 20.059 20.302 20.724 18.391 18.155 18.059 17.829 24.461 21.099 19.705 20.331 20.261 20.676
  2750. 9.5  1.365 20.287  0.347 3.454E+09 23.175 21.768 19.940 19.332 19.315 19.476 19.775 20.103 18.110 17.898 17.798 17.586 24.079 20.853 19.428 19.721 19.680 20.381
  3000. 9.5  1.365 19.909  0.184 3.449E+09 22.810 21.496 19.725 19.036 18.788 18.959 19.309 19.584 17.866 17.678 17.574 17.372 23.705 20.613 19.195 19.220 19.184 20.117
  3250. 9.5  1.365 19.561  0.041 3.444E+09 22.447 21.226 19.520 18.781 18.358 18.486 18.852 19.070 17.621 17.455 17.344 17.149 23.333 20.376 18.991 18.823 18.766 19.880
  3500. 9.5  1.365 19.239 -0.078 3.440E+09 22.071 20.947 19.317 18.560 18.019 18.049 18.408 18.591 17.381 17.235 17.121 16.931 22.950 20.134 18.805 18.514 18.420 19.660
  3750. 9.5  1.365 18.940 -0.172 3.438E+09 21.680 20.656 19.112 18.364 17.762 17.643 17.961 18.120 17.134 17.007 16.891 16.707 22.551 19.884 18.625 18.275 18.145 19.450
  4000. 9.5  1.365 18.660 -0.235 3.436E+09 21.249 20.338 18.895 18.177 17.559 17.277 17.526 17.646 16.864 16.749 16.635 16.463 22.112 19.612 18.442 18.080 17.928 19.234
  4250. 9.5  1.365 18.396 -0.268 3.435E+09 20.787 19.997 18.665 17.990 17.382 16.963 17.110 17.192 16.589 16.481 16.372 16.219 21.642 19.322 18.249 17.902 17.745 19.006
  4500. 9.5  1.365 18.148 -0.265 3.435E+09 20.273 19.623 18.413 17.789 17.209 16.716 16.732 16.792 16.326 16.226 16.128 16.000 21.120 19.004 18.039 17.721 17.576 18.755
  4750. 9.5  1.365 17.913 -0.241 3.410E+09 19.740 19.237 18.154 17.582 17.037 16.531 16.415 16.440 16.088 15.998 15.916 15.829 20.579 18.676 17.821 17.539 17.413 18.491
  5000. 9.5  1.365 17.690 -0.203 3.347E+09 19.211 18.857 17.894 17.372 16.865 16.381 16.173 16.148 15.891 15.817 15.761 15.712 20.043 18.351 17.600 17.355 17.252 18.220
  5250. 9.5  1.365 17.478 -0.161 3.277E+09 18.707 18.492 17.640 17.164 16.696 16.248 15.998 15.940 15.749 15.696 15.661 15.633 19.533 18.036 17.382 17.174 17.096 17.951
  5500. 9.5  1.365 17.276 -0.122 3.210E+09 18.231 18.152 17.398 16.966 16.533 16.126 15.869 15.800 15.649 15.612 15.588 15.570 19.053 17.740 17.174 17.001 16.946 17.691
  6000. 9.5  1.365 16.899 -0.069 3.036E+09 17.405 17.559 16.968 16.610 16.241 15.910 15.672 15.615 15.509 15.487 15.475 15.467 18.221 17.219 16.802 16.688 16.676 17.219
  6500. 9.5  1.365 16.551 -0.059 2.621E+09 16.715 17.074 16.610 16.314 15.996 15.730 15.519 15.482 15.404 15.392 15.389 15.388 17.529 16.791 16.495 16.426 16.450 16.815
  7000. 9.5  1.365 16.229 -0.086 2.450E+09 16.161 16.685 16.315 16.069 15.793 15.581 15.395 15.376 15.322 15.319 15.321 15.326 16.978 16.443 16.242 16.210 16.262 16.477
  7500. 9.5  1.365 15.929 -0.134 2.319E+09 15.732 16.366 16.063 15.858 15.618 15.454 15.291 15.288 15.254 15.258 15.264 15.270 16.552 16.152 16.023 16.023 16.101 16.192
  8000. 9.5  1.366 15.649 -0.190 2.187E+09 15.392 16.095 15.838 15.668 15.460 15.340 15.200 15.211 15.192 15.200 15.208 15.213 16.214 15.900 15.826 15.854 15.954 15.944
  8500. 9.5  1.366 15.385 -0.246 2.080E+09 15.108 15.857 15.632 15.491 15.311 15.236 15.118 15.139 15.130 15.142 15.149 15.153 15.933 15.675 15.644 15.695 15.816 15.723
  9000. 9.5  1.366 15.137 -0.301 1.994E+09 14.864 15.643 15.439 15.324 15.170 15.138 15.041 15.070 15.068 15.083 15.090 15.095 15.690 15.469 15.472 15.546 15.686 15.521
  9500. 9.5  1.366 14.902 -0.355 1.910E+09 14.647 15.448 15.257 15.167 15.037 15.046 14.967 15.004 15.006 15.025 15.032 15.039 15.475 15.279 15.311 15.404 15.564 15.335
 10000. 9.5  1.366 14.679 -0.406 1.825E+09 14.451 15.268 15.086 15.017 14.910 14.960 14.897 14.939 14.945 14.967 14.976 14.986 15.280 15.102 15.158 15.269 15.448 15.162
 10500. 9.5  1.366 14.468 -0.456 1.747E+09 14.269 15.100 14.923 14.876 14.791 14.878 14.829 14.876 14.884 14.910 14.921 14.933 15.099 14.936 15.013 15.142 15.338 15.000
 11000. 9.5  1.366 14.265 -0.506 1.685E+09 14.101 14.944 14.772 14.744 14.679 14.801 14.764 14.816 14.824 14.853 14.864 14.880 14.932 14.782 14.878 15.023 15.236 14.849
 11500. 9.5  1.366 14.072 -0.562 1.632E+09 13.947 14.801 14.635 14.626 14.580 14.730 14.705 14.760 14.767 14.798 14.808 14.825 14.778 14.641 14.756 14.916 15.145 14.712
 12000. 9.5  1.366 13.887 -0.629 1.579E+09 13.807 14.676 14.516 14.523 14.494 14.669 14.652 14.709 14.716 14.748 14.758 14.777 14.639 14.519 14.651 14.825 15.066 14.590
 12500. 9.5  1.366 13.710 -0.704 1.522E+09 13.681 14.565 14.414 14.434 14.420 14.614 14.604 14.665 14.672 14.705 14.716 14.736 14.514 14.411 14.559 14.746 14.998 14.483
 13000. 9.5  1.366 13.540 -0.785 1.463E+09 13.565 14.465 14.325 14.356 14.354 14.565 14.562 14.624 14.633 14.667 14.678 14.701 14.399 14.315 14.479 14.677 14.938 14.388
 13500. 9.5  1.366 13.376 -0.869 1.406E+09 13.459 14.374 14.244 14.287 14.296 14.520 14.523 14.588 14.598 14.633 14.645 14.668 14.293 14.228 14.407 14.615 14.884 14.301
 14000. 9.5  1.366 13.218 -0.955 1.356E+09 13.363 14.292 14.173 14.224 14.245 14.480 14.488 14.555 14.567 14.603 14.615 14.640 14.198 14.150 14.343 14.560 14.836 14.222
 14500. 9.5  1.366 13.065 -1.045 1.312E+09 13.280 14.220 14.110 14.171 14.201 14.446 14.458 14.527 14.541 14.578 14.590 14.615 14.115 14.082 14.288 14.513 14.794 14.154
 15000. 9.5  1.366 12.918 -1.140 1.271E+09 13.211 14.161 14.059 14.126 14.165 14.418 14.433 14.504 14.520 14.557 14.569 14.594 14.046 14.025 14.242 14.475 14.761 14.097
 15500. 9.5  1.366 12.776 -1.241 1.231E+09 13.154 14.112 14.016 14.090 14.135 14.394 14.413 14.485 14.502 14.539 14.552 14.576 13.990 13.979 14.204 14.444 14.733 14.051
 16000. 9.5  1.366 12.638 -1.338 1.191E+09 13.098 14.064 13.975 14.055 14.106 14.371 14.393 14.466 14.485 14.521 14.534 14.558 13.935 13.933 14.168 14.413 14.707 14.005
 16500. 9.5  1.367 12.504 -1.428 1.150E+09 13.040 14.014 13.932 14.018 14.076 14.347 14.373 14.447 14.467 14.502 14.516 14.539 13.877 13.885 14.129 14.381 14.678 13.957
 17000. 9.5  1.367 12.374 -1.513 1.110E+09 12.977 13.960 13.887 13.979 14.044 14.322 14.350 14.426 14.447 14.483 14.496 14.518 13.815 13.834 14.089 14.347 14.648 13.906
 20000. 9.5  1.367 11.668 -1.950 9.368E+08 12.573 13.624 13.619 13.734 13.833 14.147 14.196 14.279 14.311 14.347 14.362 14.386 13.413 13.522 13.837 14.127 14.447 13.586
 25000. 9.5  1.368 10.698 -2.530 6.892E+08 11.976 13.133 13.229 13.363 13.497 13.856 13.931 14.027 14.082 14.124 14.146 14.177 12.818 13.070 13.458 13.782 14.121 13.107
 30000. 9.5  1.369  9.906 -2.956 3.744E+08 11.449 12.683 12.862 13.007 13.164 13.556 13.652 13.757 13.828 13.870 13.895 13.924 12.292 12.650 13.096 13.444 13.795 12.664
 35000. 9.5  1.461  9.166 -3.356 5.502E+08 11.017 12.285 12.522 12.670 12.840 13.243 13.351 13.455 13.526 13.558 13.584 13.606 11.860 12.272 12.756 13.118 13.473 12.274
 40000. 9.5  1.461  8.586 -3.765 6.405E+08 10.798 12.088 12.351 12.501 12.678 13.086 13.199 13.303 13.373 13.403 13.428 13.447 11.642 12.083 12.585 12.954 13.312 12.078
 45000. 9.5  1.460  8.075 -4.151 5.451E+08 10.643 11.946 12.226 12.377 12.558 12.970 13.086 13.190 13.259 13.288 13.312 13.330 11.487 11.947 12.459 12.834 13.193 11.937
 50000. 9.5  1.460  7.617 -4.508 3.184E+08 10.521 11.833 12.125 12.278 12.462 12.877 12.994 13.098 13.167 13.196 13.219 13.236 11.365 11.838 12.359 12.737 13.097 11.825
 55000. 9.5  1.461  7.203 -4.836 1.167E+08 10.418 11.737 12.039 12.193 12.379 12.796 12.915 13.019 13.088 13.116 13.139 13.155 11.263 11.746 12.273 12.654 13.015 11.730
 60000. 9.5  1.461  6.825 -5.139 2.443E+07 10.330 11.654 11.964 12.118 12.307 12.726 12.846 12.950 13.019 13.047 13.069 13.084 11.174 11.665 12.198 12.581 12.944 11.648
 65000. 9.5  1.463  6.475 -5.419 4.000E+06 10.249 11.579 11.895 12.050 12.241 12.661 12.782 12.887 12.955 12.983 13.004 13.019 11.094 11.592 12.129 12.514 12.877 11.573
 70000. 9.5  1.463  6.153 -5.680 1.566E+06 10.178 11.512 11.833 11.989 12.181 12.603 12.726 12.830 12.898 12.926 12.947 12.961 11.023 11.527 12.068 12.455 12.819 11.506
 75000. 9.5  1.462  5.855 -5.923 9.878E+05 10.114 11.452 11.778 11.934 12.128 12.551 12.674 12.778 12.847 12.874 12.895 12.908 10.959 11.468 12.013 12.401 12.765 11.446
 80000. 9.5  1.462  5.575 -6.151 7.476E+05 10.054 11.395 11.725 11.882 12.077 12.501 12.625 12.730 12.798 12.825 12.845 12.858 10.900 11.412 11.960 12.350 12.715 11.389
 85000. 9.5  1.461  5.312 -6.364 5.774E+05  9.999 11.343 11.676 11.833 12.030 12.455 12.579 12.684 12.752 12.779 12.799 12.812 10.844 11.361 11.911 12.302 12.668 11.337
 90000. 9.5  1.459  5.065 -6.566 3.708E+05  9.948 11.294 11.631 11.789 11.986 12.412 12.538 12.642 12.710 12.737 12.757 12.769 10.794 11.314 11.867 12.259 12.625 11.289
100000. 9.5  1.445  4.619 -6.937 3.709E+04  9.863 11.213 11.556 11.714 11.913 12.341 12.467 12.572 12.640 12.666 12.686 12.697 10.708 11.234 11.792 12.186 12.552 11.208
110000. 9.5  1.410  4.231 -7.273 1.428E+02  9.802 11.156 11.504 11.663 11.864 12.293 12.420 12.525 12.593 12.619 12.638 12.649 10.648 11.179 11.740 12.136 12.503 11.151
120000. 9.5  1.353  3.898 -7.578 1.314E-02  9.767 11.125 11.476 11.636 11.838 12.269 12.397 12.502 12.569 12.595 12.614 12.625 10.613 11.149 11.713 12.110 12.478 11.120
